x,y,color
192,146,#ff0000
192,150,#ff0000
192,155,#ff0000
191,159,#ff0000
190,164,#ff0000
189,168,#ff0000
188,172,#ff0000
188,177,#ff0000
187,181,#ff0000
186,185,#ff0000
186,189,#ff0000
185,193,#7feb00
184,197,#ff0000
183,201,#ff0000
181,205,#7feb00
179,209,#ff0000
177,214,#ff0000
176,218,#ff0000
174,222,#ff0000
172,226,#7feb00
170,230,#7feb00
168,234,#7feb00
166,238,#7feb00
164,242,#7feb00
162,247,#7feb00
160,251,#7feb00
158,255,#7feb00
156,259,#7feb00
154,263,#ff0000
152,268,#7feb00
150,272,#7feb00
149,276,#7feb00
147,281,#ff0000
146,285,#ff0000
145,290,#ff0000
143,294,#ff0000
142,299,#ff0000
141,303,#ff0000
140,307,#ff0000
139,312,#ff0000
138,317,#ff0000
137,321,#ff0000
137,325,#ff0000
136,328,#ff0000
136,330,#ff0000
136,330,#006300
136,329,#7feb00
143,325,#ff0000
157,323,#006300
159,321,#006300
161,319,#006300
163,316,#006300
165,313,#7feb00
166,309,#7feb00
168,305,#7feb00
170,301,#7feb00
171,296,#7feb00
173,291,#7feb00
174,287,#7feb00
176,282,#7feb00
178,278,#7feb00
180,273,#7feb00
182,269,#7feb00
184,265,#7feb00
186,260,#7feb00
188,256,#7feb00
190,252,#7feb00
192,247,#7feb00
194,243,#7feb00
196,239,#7feb00
198,234,#7feb00
200,230,#7feb00
203,226,#7feb00
205,221,#7feb00
207,217,#7feb00
208,212,#7feb00
210,207,#7feb00
211,203,#7feb00
212,198,#7feb00
213,193,#7feb00
214,188,#7feb00
215,183,#7feb00
215,178,#7feb00
216,173,#7feb00
217,169,#7feb00
218,163,#7feb00
219,159,#7feb00
219,154,#006300
219,149,#7feb00
219,144,#7feb00
219,139,#7feb00
219,135,#7feb00
219,130,#7feb00
219,125,#7feb00
218,120,#7feb00
218,115,#7feb00
217,110,#7feb00
216,105,#7feb00
215,101,#7feb00
213,96,#7feb00
212,91,#7feb00
210,87,#7feb00
209,82,#7feb00
208,77,#7feb00
207,72,#7feb00
206,67,#7feb00
205,62,#7feb00
205,57,#7feb00
204,53,#7feb00
202,48,#7feb00
201,43,#ff0000
199,39,#ff0000
196,35,#ff0000
194,31,#ff0000
191,28,#ff0000
188,25,#ff0000
221,24,#7feb00
223,28,#7feb00
226,33,#7feb00
227,38,#7feb00
229,42,#7feb00
230,47,#7feb00
231,52,#7feb00
232,57,#7feb00
233,62,#7feb00
234,67,#7feb00
235,72,#7feb00
236,77,#7feb00
237,81,#7feb00
239,86,#7feb00
240,91,#7feb00
241,96,#7feb00
242,100,#7feb00
243,105,#ff0000
244,109,#7feb00
244,114,#7feb00
